Date,Open,High,Low,Close,Adj Close,Volume,Direction,Day,Month,Year
02/01/2019,6506.910156,6693.709961,6506.879883,6665.939941,6665.939941,2261800000,1,2,1,2019
03/01/2019,6584.77002,6600.209961,6457.129883,6463.5,6463.5,2607290000,-1,3,1,2019
04/01/2019,6567.140137,6760.689941,6554.240234,6738.859863,6738.859863,2579550000,1,4,1,2019
07/01/2019,6757.529785,6855.600098,6741.399902,6823.470215,6823.470215,2507550000,1,7,1,2019
08/01/2019,6893.439941,6909.580078,6795.859863,6897,6897,2380290000,1,8,1,2019
09/01/2019,6923.060059,6985.220215,6899.560059,6957.080078,6957.080078,2422590000,1,9,1,2019
10/01/2019,6908.649902,6991.370117,6877.080078,6986.069824,6986.069824,2179080000,1,10,1,2019
11/01/2019,6947.459961,6975.649902,6933.600098,6971.47998,6971.47998,2066500000,-1,11,1,2019
14/01/2019,6908.029785,6936.220215,6887.47998,6905.919922,6905.919922,1942210000,-1,14,1,2019
15/01/2019,6931.390137,7025.850098,6928.120117,7023.830078,7023.830078,2038090000,1,15,1,2019
16/01/2019,7033.75,7079.629883,7028.120117,7034.689941,7034.689941,2149580000,1,16,1,2019
17/01/2019,7010.129883,7113.950195,7003.620117,7084.459961,7084.459961,2128840000,1,17,1,2019
18/01/2019,7134.100098,7185.379883,7096.620117,7157.22998,7157.22998,2451240000,1,18,1,2019
22/01/2019,7109.569824,7110.160156,6979.810059,7020.359863,7020.359863,2380950000,-1,22,1,2019
23/01/2019,7061.649902,7084.850098,6953.22998,7025.77002,7025.77002,2274420000,1,23,1,2019
24/01/2019,7042.25,7078.959961,7029.950195,7073.459961,7073.459961,2400290000,1,24,1,2019
25/01/2019,7128.180176,7174.560059,7111.089844,7164.859863,7164.859863,2440840000,1,25,1,2019
28/01/2019,7075.009766,7086.299805,7034.25,7085.680176,7085.680176,2435480000,-1,28,1,2019
29/01/2019,7087.490234,7092.290039,7011.470215,7028.290039,7028.290039,2089690000,-1,29,1,2019
30/01/2019,7094.790039,7201.310059,7065.569824,7183.080078,7183.080078,2544050000,1,30,1,2019
31/01/2019,7208.169922,7303.120117,7205.950195,7281.740234,7281.740234,2918710000,1,31,1,2019
01/02/2019,7256.370117,7299.939941,7243.410156,7263.870117,7263.870117,2383430000,-1,1,2,2019
